IMAGE\LABEL	airplane	bare-soil	buildings	cars	chaparral	court	dock	field	grass	mobile-home	pavement	sand	sea	ship	tanks	trees	water
airport_1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airport_11	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airport_13	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_16	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airport_17	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0
airport_19	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_20	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_22	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airport_23	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_25	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_27	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_29	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
airport_30	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_32	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_34	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
airport_36	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
airport_39	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_40	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_42	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_43	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_44	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_45	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airport_46	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_47	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_48	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_49	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_5	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airport_50	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_51	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_52	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
airport_53	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_54	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0
airport_55	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_56	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
airport_57	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
airport_58	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0
airport_59	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
airport_6	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
