image	haze	primary	agriculture	clear	water	habitation	road	cultivation	slash_burn	cloudy	partly_cloudy	conventional_mine	bare_ground	artisinal_mine	blooming	selective_logging	blow_down
train_100	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
train_10002	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10003	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10007	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10009	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
train_10014	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1002	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10023	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10025	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10030	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10033	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10037	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
train_10040	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10048	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10056	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_1006	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10061	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10066	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10069	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10071	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_1008	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10081	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10082	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10088	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10090	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_10092	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1010	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10104	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_1011	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10110	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10116	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10118	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1012	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
train_10124	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
train_10128	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10129	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10131	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10134	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10138	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10145	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10149	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10153	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10154	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
train_10157	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10161	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10163	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10171	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10172	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10181	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10183	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
train_10184	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10187	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
train_10194	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10197	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
train_102	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10201	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10204	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10205	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
train_10207	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10210	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
