IMAGE\LABEL	airplane	bare-soil	buildings	cars	chaparral	court	dock	field	grass	mobile-home	pavement	sand	sea	ship	tanks	trees	water
agricultural07	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
agricultural24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural36	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural43	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural46	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural47	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural50	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural54	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural57	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural65	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural66	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural68	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural69	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural72	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural74	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural76	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural77	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural78	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural79	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural80	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural81	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural83	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural84	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural85	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural86	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural89	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural90	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural92	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural93	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural94	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural95	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural96	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural98	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
agricultural99	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
airplane03	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane07	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane11	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane14	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane19	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane21	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane24	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane26	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane31	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane32	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane35	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane37	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane38	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
airplane40	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane41	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane45	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane49	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane51	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane53	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane54	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane57	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
airplane59	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane61	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane62	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane63	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane64	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane65	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane66	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane67	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane68	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane69	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
airplane70	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
